"LA","DETACHED","SEMI","TERR","FLAT_OTHER"
"Barking and Dagenham",1541,11987,36497,17248
"Barnet",14526,39925,23045,49448
"Bexley",6390,40041,23394,19626
"Brent",6517,27874,18911,46689
"Bromley",23739,38460,28398,35269
"Camden",1617,3280,8044,78662
"City of London",11,12,70,4245
"Croydon",17336,35363,41643,44657
"Ealing",5172,27863,35080,49908
"Enfield",6307,26639,39017,38435
"Greenwich",3533,16875,32830,39550
"Hackney",1343,3374,16222,65103
"Hammersmith and Fulham",906,3612,17396,53524
"Haringey",2915,8851,29290,51114
"Harrow",9677,31780,16069,21586
"Havering",10200,38810,25846,16866
"Hillingdon",14198,35275,23883,23287
"Hounslow",3472,26186,22599,31737
"Islington",803,2207,13100,66171
"Kensington and Chelsea",976,2315,10151,65704
"Kingston upon Thames",8034,19856,11575,21961
"Lambeth",2372,9237,22375,84463
"Lewisham",3139,13896,33961,56416
"Merton",4616,14277,32183,27808
"Newham",3942,7961,41643,38275
"Redbridge",5184,24975,37276,24853
"Richmond upon Thames",6821,19054,21254,29017
"Southwark",2089,6398,18765,78554
"Sutton",8471,21541,20398,25992
"Tower Hamlets",806,1779,10289,65656
"Waltham Forest",3105,14860,37392,34431
"Wandsworth",2712,8276,30308,74357
"Westminster",934,1658,7083,81497
