"LA","White","Mixed","Asian","Black","Other"
"Barking and Dagenham",109106,1362,6016,7896,1210
"Barnet",190102,5031,30831,13387,11457
"Bexley",158951,1477,5755,4451,1767
"Brent",103363,5653,57013,38045,7221
"Bromley",219360,2647,5837,6221,2596
"Camden",126907,4558,14585,11364,7740
"City of London",5632,100,370,157,260
"Croydon",188022,6064,28392,31695,3966
"Ealing",149604,5896,56643,19090,9969
"Enfield",171027,4209,16357,20412,3761
"Greenwich",133919,2950,10532,16681,3683
"Hackney",98165,4855,11871,35654,4848
"Hammersmith and Fulham",111359,3657,5700,13425,3875
"Haringey",119302,5341,11231,30649,5379
"Harrow",101752,3011,47101,9081,4178
"Havering",172028,1108,3230,2341,1091
"Hillingdon",154976,2836,24496,5775,3421
"Hounslow",113329,3433,40153,6603,5091
"Islington",112903,4064,6951,14771,4867
"Kensington and Chelsea",108077,3855,6349,8243,7601
"Kingston upon Thames",102251,1823,9005,1837,4482
"Lambeth",144323,7171,9529,48768,5324
"Lewisham",136910,5297,7346,41665,5115
"Merton",116703,3110,16142,10665,4714
"Newham",79798,4072,54003,36163,6014
"Redbridge",126367,2655,43246,12576,2800
"Richmond upon Thames",128597,1998,5200,1299,2834
"Southwark",131753,5013,7797,44091,6554
"Sutton",128372,1832,6494,3369,2050
"Tower Hamlets",89382,3001,44281,9608,4943
"Waltham Forest",117370,3666,22701,24467,3269
"Wandsworth",175033,4986,14240,18836,4811
"Westminster",118894,4842,12455,10541,10080
