"LA","HIGHER.MP","LOWER.MP","INTER","SMALL.EMP","LOWER.ST","SEMI.RT","RT","NEVER","NOTCLASS"
"Camden",21640,28334,8388,9208,4064,7827,5930,6551,5573
"City of London",1681,1403,359,287,108,177,102,92,174
"Hackney",12737,26477,10360,9945,5658,11551,10552,10826,3558
"Hammersmith and Fulham",16476,23619,7916,7524,3764,6890,5825,5277,3283
"Haringey",14348,26454,9827,11700,5937,11165,9976,9457,3070
"Islington",18228,25170,8975,7743,4397,8862,7906,7937,4326
"Kensington and Chelsea",19010,24525,5923,8538,2526,5344,3924,4934,3798
"Lambeth",21475,36541,14392,11385,7262,13241,11988,9335,4368
"Lewisham",15170,30550,15060,11072,7477,14592,10447,7781,3920
"Newham",8151,18211,10843,11936,7877,15321,12936,10632,5577
"Southwark",19882,30609,12873,9852,7355,14090,11920,8572,5247
"Tower Hamlets",18191,24714,9559,7745,6259,10496,9049,10229,4999
"Wandsworth",30606,41295,13516,12010,5636,10493,8013,5851,3057
"Westminster",24998,29797,8416,9986,4127,7914,6206,8789,5510
"Barking and Dagenham",4182,11763,8954,7634,6031,12089,10758,6269,1992
"Barnet",25310,35325,15349,20658,6401,12594,8879,7939,3431
"Bexley",9879,20922,16344,11411,8044,11839,9264,3698,1199
"Brent",12460,23288,12057,15747,7274,14411,12640,9291,3101
"Bromley",22704,36921,20452,15988,7775,12606,8508,4787,1119
"Croydon",19814,36649,22420,16378,9412,17306,11897,7881,3241
"Ealing",18694,30123,13882,15325,8287,13676,12395,8862,2814
"Enfield",13993,26309,14711,15799,7993,15122,12717,10477,2772
"Greenwich",13426,23526,12446,10353,6858,13459,10604,7234,3129
"Harrow",15121,20606,11105,11915,4768,8862,5949,4715,1214
"Havering",10199,20977,16193,12943,8580,12870,10826,3839,771
"Hillingdon",12958,22869,14337,11533,8885,11947,10468,4906,2295
"Hounslow",13162,22227,12142,10698,7478,11709,10070,5398,2005
"Kingston upon Thames",12959,18164,7936,7270,3299,5710,3693,2009,2586
"Merton",15129,21652,10089,8919,4757,7954,5891,2918,1441
"Redbridge",15060,23768,13389,13989,5781,11066,7581,6267,2164
"Richmond upon Thames",20689,27248,8437,8453,3145,5069,3445,2122,1218
"Sutton",11161,20272,12667,10103,5771,8583,6247,2590,777
"Waltham Forest",9725,22161,12401,13262,7015,11922,10631,7123,2610
