"LA","OWNOUT","OWNMORT","SOCRENT","PVTRENT"
"Camden",16644,15398,32295,33197
"City of London",1093,775,725,1792
"Hackney",8597,17956,44430,30707
"Hammersmith and Fulham",12777,15877,25133,26803
"Haringey",16326,24810,27242,33577
"Islington",10587,17184,39342,26443
"Kensington and Chelsea",17933,10774,19271,30558
"Lambeth",14778,30094,45619,39526
"Lewisham",17273,33391,36052,29375
"Newham",12993,22635,30092,35799
"Southwark",11805,25978,52644,29995
"Tower Hamlets",8648,18287,40106,34216
"Wandsworth",24067,37237,26516,42673
"Westminster",18692,14480,27348,45252
"Barking and Dagenham",11908,21322,23459,12992
"Barnet",38105,41436,19334,37041
"Bexley",30127,37781,13377,11319
"Brent",22416,26544,26591,34735
"Bromley",43649,50172,18425,18616
"Croydon",34882,52203,25887,32038
"Ealing",28414,37180,22472,36016
"Enfield",31452,39097,21073,28294
"Greenwich",16585,28714,34662,21084
"Harrow",26246,29576,8923,19523
"Havering",34625,37659,13799,11116
"Hillingdon",27921,36370,16752,19171
"Hounslow",20048,29759,21682,23413
"Kingston upon Thames",17727,23469,7502,14941
"Merton",20160,27200,11102,20295
"Redbridge",27911,36075,11289,23830
"Richmond upon Thames",23756,27595,10051,18433
"Sutton",22357,31406,11422,12989
"Waltham Forest",19396,29983,21376,26106
